HS4,Name4,,
909,茴芹子、八角茴香、小茴香子、芫荽子、枯茗子及艹页蒿子；杜松果,,
910,姜、番红花、姜黄、麝香草、月桂叶、咖喱及其他调味香料,,
1001,小麦及混合麦,,
1002,黑麦,,
1003,大麦,,
1004,燕麦,,
1005,玉米,,
1006,稻谷、大米,,
1007,食用高粱,,
1008,荞麦、谷子及加那利草子；其他谷物,,
1101,小麦或混合麦的细粉,,
1102,其他谷物细粉，但小麦或混合麦的细粉除外,,
1103,谷物的粗粒、粗粉及团粒,,
1104,经其他加工的谷物（例如，去壳、滚压、制片、制成粒状、切片或粗磨），但品目1006的稻谷、大米除外；谷物胚芽，整粒、滚压、制片或磨碎的,,
1105,马铃薯的细粉、粗粉、粉末、粉片、颗粒及团粒,,
1106,用品目0713的干豆或0714的西谷茎髓及植物根茎、块茎制成的细粉、粗粉及粉末；用第八章产品制成的细粉、粗粉及粉末,,
1107,麦芽，不论是否焙制,,
1108,淀粉；菊粉,,
1109,面筋，不论是否干制,,
1201,大豆，不论是否破碎,,
1202,未焙炒或未烹煮的花生，不论是否去壳或破碎,,
1203,干椰子肉,,
1204,亚麻子，不论是否破碎,,
1205,油菜子，不论是否破碎,,
1206,葵花子，不论是否破碎,,
1207,其他含油子仁及果实，不论是否破碎,,
1208,含油子仁或果实的细粉及粗粉，但芥子粉除外,,
1209,种植用的种子、果实及孢子,,
1210,鲜或干的啤酒花，不论是否研磨或制成团粒；蛇麻腺,,
1211,主要用作香料、药料、杀虫、杀菌或类似用途的植物或这些植物的某部分（包括子仁及果实），鲜、冷、冻或干的，不论是否切割、压碎或研磨成粉,,
1212,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人使用的其他品目未列名的果核、果仁及植物产品（包括未焙制的菊苣根）,,
1213,未经处理的谷类植物的茎、秆及谷壳，不论是否切碎、碾磨、挤压或制成团粒,,
1214,芜菁甘蓝、饲料甜菜、饲料用根、干草、紫苜蓿、三叶草、驴喜豆、羽衣甘蓝、羽扇豆、巢菜及类似饲料，不论是否制成团粒,,
1301,虫胶；天然树胶、树脂、树胶脂及油树脂（例如，香树脂）,,
1302,植物液汁及浸膏；果胶、果胶酸盐及果胶酸脂；从植物产品制得的琼脂、其他胶液及增稠剂，不论是否改性,,
1401,主要作编结用的植物材料（例如，竹子、藤、芦苇、灯芯草、柳条、酒椰叶，已净、漂白或染色的谷类植物的茎秆，椴树皮）,,
1404,其他编码未列名的植物产品,,
1501,猪脂肪（包括已炼制的猪油）及家禽脂肪，但品目0209及1503的货品除外,,
1502,牛、羊脂肪，但品目1503的货品除外,,
1503,猪油硬脂、液体猪油、油硬脂、食用或非食用脂油，未经乳化、混合或其他方法制作,,
1504,鱼或海生哺乳动物的油、脂及其分离品，不论是否精制、但未经化学改性,,
1505,羊毛脂及从羊毛脂制得的脂肪物质（包括纯净的羊毛脂）,,
1506,其他动物油、脂及其分离品，不论是否精制，但未经化学改性,,
1507,豆油及其分离品，不论是否精制，但未经化学改性,,
1508,花生油及其分离品，不论是否精制，但未经化学改性,,
1509,油橄榄油及其分离品，不论是否精制，但未经化学改性,,
1510,其他橄榄油及其分离品，不论是否精制，但未经化学改性,,
1511,棕榈油及其分离品，不论是否精制，但未经化学改性,,
1512,葵花油、红花油、棉子油及其分离品，不论是否精制，但未经化学改性,,
1513,椰子油、棕榈仁油或巴巴苏棕榈果油及其分离品，不论是否精制，但未经化学改性,,
1514,菜子油或芥子油及其分离品，不论是否精制，但未经化学改性,,
1515,其他固定植物油、脂及其分离品，不论是否精制，但未经化学改性,,
1516,动、植物油、脂及其分离品，全部或部分氢化、相互酯化、再脂化或反油酸化，不论是否精制，但未经化学改性,,
1517,人造黄油；本章各种动、植物油、脂及其分离品混合制成的食用油、脂或制品，但品目1516的食用油、脂及其分离品除外,,
1518,动、植物油、脂及其分离品，经过熟化、氧化、脱水、硫化、吹制或在真空、惰性气体中加热聚合物及用其他化学方法改行的，但品目1516的产品除外；本章各种油、脂或其分离品制成的其他品目未列名的非食用混合物或制品,,
1520,粗甘油；甘油水及甘油碱液,,
1521,植物蜡（甘油三酸酯除外）、蜂蜡、其他虫蜡及鲸蜡，不论是否精炼或着色,,
1522,油鞣回收脂；加工处理油脂物质及动、植物蜡所剩的残渣,,
1601,肉、食用杂碎或动物血制香肠及类似产品；用香肠制成的食品,,
1602,其他方法制作或保藏的肉、食用杂碎或动物血,,
1603,肉、鱼、甲壳动物、软体动物或其他水生无脊椎动物的精及汁,,
1604,制作或保藏的鱼；鲟鱼子酱及鱼卵制的鲟鱼子酱代用品,,
1605,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物,,
1701,固体甘蔗糖、甜菜糖及化学纯蔗糖,,
1702,其他固体糖，包括化学纯乳糖、麦芽糖、葡萄糖及果糖；未加香料或着色剂的糖浆；人造蜜，不论是否掺有天然蜂蜜；焦糖,,
1703,制糖后所剩的糖蜜,,
1704,不含可可的糖食（包括白巧克力）,,
1801,整颗或破碎的可可豆，生的或焙炒的,,
1802,可可荚、壳、皮及废料,,
1803,可可膏，不论是否脱脂,,
1804,可可脂、可可油,,
1805,未加糖或其他甜物质的可可粉,,
1806,巧克力及其他含可可的食品,,
1901,麦精；细粉、粗粒、粗粉、淀粉或麦精制的其他品目未列名的食品，不含可可或按重量计全脱脂可可含量低于40%；品目0401至0404所列货品制的其他品目未列名的食品，不含可可或按重量计全脱脂可可含量低于5%,,
1902,面食，不论是否煮熟、包馅（肉馅或其他馅）或其他方法制作，例如，通心粉、面条、汤团、馄饨、饺子、奶油面卷；古斯古斯面食，不论是否制作,,
1903,珍粉及淀粉制成的珍粉代用品，片、粒、珠、粉或类似形状的,,
1904,谷物或谷物产品经膨化或烘炒制成的食品（例如，玉米片）；其他品目未列名的预煮或经其他方法制作的谷粒（玉米除外）、谷物片或经其他加工的谷粒（细粉、粗粒及粗粉除外）,,
1905,面包、糕点、饼干及其他焙烘糕饼，不论是否含可可；圣餐饼、装药空囊、封缄、糯米纸及类似制品,,
2001,蔬菜、水果、坚果及植物的其他食用部分，用醋或醋酸制作或保藏的,,
2002,番茄，用醋或醋酸以外的其他方法制作或保藏的,,
2003,蘑菇及块菌，用醋或醋酸以外的其他方法制作或保藏的,,
2004,其他冷冻蔬菜，用醋或醋酸以外的其他方法制作或保藏的，品目2006的货物除外,,
2005,其他未冷冻蔬菜，用醋或醋酸以外的其他方法制作或保藏的，品目2006的货物除外,,
2006,糖渍蔬菜、水果、坚果、果皮及植物的其他部分（沥干、糖渍或裹糖的）,,
2007,烹煮的果酱、果冻、柑桔酱、果泥及果膏，不论是否加糖或其他甜物质,,
2008,用其他方法制作或保藏的其他品目未列名水果、坚果及植物的其他食用部分，不论是否加酒、加糖或其他甜物质,,
2009,未发酵及未加酒精的水果汁（包括酿酒葡萄汁）、蔬菜汁，不论是否加糖或其他甜物质,,
2101,咖啡、茶、马黛茶的浓缩精汁及以其为基本成分或以咖啡、茶、马黛茶为基本成分的制品；烘焙菊苣和其他烘焙咖啡代用品及其浓缩汁,,
2102,酵母（活性或非活性）；已死的其他单细胞微生物（不包括品目3002的疫苗）；发酵粉,,
2103,调味汁及其制品；混合调味品；芥子粉及其调制品,,
2104,汤料及其制品；均化混合食品,,
2105,冰淇淋及其他冰制食品；不论是否含可可,,
2106,其他品目未列名的食品,,
2201,未加糖或其他甜物质及未加味的水，包括天然或人造矿泉水及汽水；冰及雪,,
2202,加味、加糖或其他甜物质的水，包括矿泉水及汽水、其他无酒精饮料，但不包括2009的水果汁或蔬菜汁,,
2203,麦芽酿造的啤酒,,
2204,鲜葡萄酿造的酒，包括加酒精的；品目2009以外的酿酒葡萄汁,,
2205,味美思酒及其他加植物或香料的用鲜葡萄酿造的酒,,
2206,其他发酵饮料（例如，苹果酒、梨酒、蜂蜜酒、清酒）；其他品目未列名的发酵饮料的混合物及发酵饮料与无酒精饮料的混合物,,
2207,未改性乙醇，按容量计酒精浓度≥80％；任何浓度的改性乙醇及其他酒精,,
2208,未改性乙醇，按容量计酒精浓度＜80％；蒸馏酒、利口酒及其他酒精饮料,,
2209,醋及用醋酸制得的醋代用品,,
2301,不适于供人食用的肉、杂碎、鱼、甲壳动物、软体动物或其他水生无脊椎动物的渣粉及团粒；油渣,,
2302,谷物或豆类植物在筛、碾或其他加工过程中产生的糠、麸及其他残渣，不论是否制成团粒,,
